Date,AAPL,AMZN,BAC,CVX,GLD,GOOGL,GS,IBIT,JNJ,JPM,META,MSFT,NVDA,PFE,SLV,TLT,TSLA,UNH,USO,WMT,XOM
2020-04-24,68.30995178222656,120.51100158691406,19.05812644958496,66.10000610351562,162.63999938964844,63.268978118896484,152.93551635742188,,130.1881866455078,77.42669677734375,188.4154052734375,165.44789123535156,7.2030792236328125,26.095964431762695,14.210000038146973,141.92507934570312,48.34333419799805,261.74853515625,20.559999465942383,39.66836166381836,33.125728607177734
2020-04-27,68.35824584960938,118.80000305175781,20.166563034057617,68.15116119384766,161.55999755859375,62.98450469970703,158.5863800048828,,129.70896911621094,80.76412200927734,185.86776733398438,164.97389221191406,7.3893818855285645,26.75918197631836,14.210000038146973,139.28334045410156,53.25,264.1656494140625,17.520000457763672,39.319007873535156,33.28481674194336
2020-04-28,67.25016784667969,115.7040023803711,20.527446746826172,68.30310821533203,160.83999633789062,61.08781433105469,161.5845489501953,,127.27100372314453,81.33600616455078,181.3177490234375,160.95504760742188,7.247106075286865,26.46596908569336,14.100000381469727,140.88661193847656,51.27466583251953,259.1156005859375,17.040000915527344,39.227073669433594,34.065040588378906
2020-04-29,69.45903778076172,118.635498046875,21.29217529296875,71.88121032714844,161.72999572753906,66.5191650390625,164.1939697265625,,126.30423736572266,83.52967071533203,192.4995574951172,168.17762756347656,7.423706531524658,26.61257553100586,14.279999732971191,140.15562438964844,53.367332458496094,258.4775695800781,18.0,37.878639221191406,35.95121383666992
2020-04-30,70.9243392944336,123.69999694824219,20.6649227142334,69.89083099365234,158.8000030517578,66.74317169189453,158.4826202392578,,126.13607788085938,81.73719024658203,202.92799377441406,169.8648681640625,7.269988536834717,26.780122756958008,13.979999542236328,138.51902770996094,52.12533187866211,262.8088073730469,19.1200008392334,37.250396728515625,35.20130157470703
2020-05-01,69.78250122070312,114.302001953125,19.83145523071289,67.94606018066406,159.77999877929688,65.28707885742188,153.0219268798828,,124.66487121582031,79.59474182128906,200.50918579101562,165.466796875,7.033692836761475,26.277469635009766,13.920000076293945,139.70526123046875,46.75466537475586,255.65615844726562,18.860000610351562,37.67024230957031,32.67881393432617
2020-05-04,70.76985168457031,115.79949951171875,19.70256805419922,69.46540069580078,160.33999633789062,65.56362915039062,152.097412109375,,124.6480941772461,78.64728546142578,203.47317504882812,169.51414489746094,7.245365142822266,26.263504028320312,13.770000457763672,139.0480499267578,50.74599838256836,258.3787841796875,19.670000076293945,37.9092903137207,33.996856689453125
2020-05-05,71.83203125,115.88999938964844,19.470569610595703,70.56695556640625,161.02000427246094,66.85814666748047,154.05880737304688,,125.68213653564453,78.52780151367188,205.26742553710938,171.33401489257812,7.306304931640625,26.88484001159668,13.930000305175781,138.15809631347656,51.2140007019043,263.321044921875,21.510000228881836,38.224945068359375,33.95899200439453
2020-05-06,72.5731430053711,117.56300354003906,19.204200744628906,68.40946197509766,158.9499969482422,66.68022918701172,152.8663787841797,,124.48833465576172,77.05113220214844,206.65524291992188,173.02117919921875,7.407041072845459,26.88484001159668,13.920000076293945,135.92868041992188,52.172000885009766,259.4840087890625,20.850000381469727,37.78670120239258,33.32268142700195
2020-05-07,73.32390594482422,118.38050079345703,19.6252384185791,70.3770523071289,161.38999938964844,67.86225128173828,157.53225708007812,,124.076416015625,77.85347747802734,209.4209442138672,174.0259246826172,7.583145618438721,26.059900283813477,14.260000228881836,138.19961547851562,52.00266647338867,256.09637451171875,20.469999313354492,37.51890563964844,33.512062072753906
2020-05-08,75.06913757324219,118.98049926757812,20.25248908996582,72.52692413330078,160.4199981689453,68.608642578125,160.18484497070312,,125.00956726074219,79.12528991699219,210.50146484375,175.0496063232422,7.772928714752197,26.24321174621582,14.4399995803833,136.40281677246094,54.62799835205078,257.8935852050781,21.469999313354492,37.84210205078125,34.98162078857422
2020-05-11,76.25037384033203,120.44999694824219,19.401830673217773,70.93161010742188,159.4199981689453,69.56266784667969,158.2580108642578,,125.35426330566406,76.79507446289062,211.32424926757812,177.00216674804688,8.02464771270752,26.86369514465332,14.4399995803833,135.33811950683594,54.08599853515625,259.4122009277344,21.170000076293945,38.06679916381836,34.648319244384766
2020-05-12,75.37896728515625,117.84750366210938,18.791767120361328,69.20712280273438,160.0399932861328,68.15465545654297,153.11697387695312,,123.6981201171875,74.28559112548828,208.27105712890625,172.99273681640625,7.762979984283447,26.341928482055664,14.420000076293945,136.72727966308594,53.96066665649414,258.52252197265625,20.969999313354492,38.10067367553711,34.06916809082031
2020-05-13,74.46883392333984,118.39600372314453,17.93251609802246,67.38385009765625,161.5800018310547,66.82395935058594,148.44247436523438,,123.68973541259766,71.72486877441406,203.31459045410156,170.37664794921875,7.740592956542969,26.123355865478516,14.550000190734863,137.68392944335938,52.73066711425781,249.80633544921875,20.600000381469727,38.079124450683594,32.37807083129883
2020-05-14,74.92633056640625,119.44249725341797,18.654285430908203,68.40946197509766,163.00999450683594,67.24671173095703,150.73220825195312,,124.11848449707031,74.70382690429688,205.0096893310547,171.1160430908203,7.989824295043945,26.736780166625977,14.8100004196167,139.0314178466797,53.55533218383789,261.13739013671875,21.450000762939453,37.98986053466797,32.66377258300781
2020-05-15,74.48336029052734,120.48899841308594,18.422285079956055,67.73336029052734,163.92999267578125,68.04959106445312,148.5030059814453,,126.47234344482422,73.32105255126953,209.0442657470703,173.60888671875,8.44774341583252,26.62396240234375,15.510000228881836,138.673828125,53.27799987792969,261.4519348144531,22.389999389648438,38.765541076660156,32.432125091552734
2020-05-18,76.23826599121094,121.31300354003906,19.70256805419922,71.3408432006836,162.69000244140625,68.65026092529297,157.1520233154297,,126.5396728515625,77.20475769042969,211.33413696289062,175.26759338378906,8.705926895141602,26.842538833618164,15.789999961853027,135.6292724609375,54.242000579833984,263.60858154296875,24.309999465942383,39.29497528076172,35.011253356933594
2020-05-19,75.79773712158203,122.46649932861328,19.08390998840332,69.08230590820312,164.25999450683594,68.11599731445312,153.65264892578125,,125.27860260009766,75.68541717529297,214.99205017089844,174.05441284179688,8.760895729064941,26.567554473876953,16.170000076293945,136.1366424560547,53.867332458496094,259.7356262207031,24.440000534057617,38.46080780029297,33.93017578125
2020-05-20,77.2718505859375,124.89700317382812,19.685382843017578,71.68772888183594,164.64999389648438,69.83872985839844,156.77188110351562,,124.15204620361328,77.9559097290039,227.9680938720703,176.4686279296875,8.924565315246582,26.532302856445312,16.360000610351562,136.54428100585938,54.37066650390625,258.7831115722656,25.34000015258789,38.614707946777344,35.034420013427734
2020-05-21,76.69576263427734,122.33699798583984,19.676788330078125,70.94772338867188,162.25,69.71928405761719,155.61404418945312,,123.33663177490234,76.96577453613281,229.37571716308594,174.34898376464844,8.730806350708008,26.271419525146484,15.960000038146973,136.88534545898438,55.17333221435547,257.8127136230469,26.600000381469727,38.473114013671875,34.408931732177734
2020-05-22,77.18954467773438,121.84400177001953,19.470569610595703,69.59105682373047,163.2100067138672,70.04093170166016,155.46714782714844,,122.21073913574219,76.3682861328125,232.86508178710938,174.4250946044922,8.980530738830566,26.440637588500977,16.040000915527344,137.7088623046875,54.45866775512695,260.53546142578125,25.56999969482422,38.26996612548828,34.439815521240234
2020-05-26,76.66670989990234,121.09300231933594,20.862550735473633,71.91897583007812,160.88999938964844,70.44385528564453,169.40415954589844,,122.3716049194336,81.78839874267578,230.17868041992188,172.58111572265625,8.67359447479248,26.433589935302734,15.970000267028809,135.8622283935547,54.591331481933594,264.9833679199219,25.65999984741211,38.12529754638672,35.45138931274414
2020-05-27,77.00077819824219,120.51950073242188,22.323274612426758,72.3814926147461,161.17999267578125,70.38983154296875,181.15513610839844,,122.65093231201172,86.52567291259766,227.14529418945312,172.80923461914062,8.48206901550293,26.377182006835938,16.149999618530273,135.61257934570312,54.68199920654297,272.96270751953125,25.0,37.70051574707031,35.70622253417969
2020-05-28,77.03462219238281,120.05500030517578,21.360916137695312,70.04585266113281,161.72000122070312,70.28874206542969,173.8626251220703,,124.41168975830078,85.23680114746094,223.4973602294922,172.41954040527344,8.444015502929688,26.92009925842285,16.190000534057617,135.11343383789062,53.72066879272461,273.14251708984375,25.030000686645508,38.07296371459961,34.77958297729492
2020-05-29,76.95960998535156,122.11849975585938,20.725078582763672,70.68563842773438,162.91000366210938,71.04601287841797,170.83700561523438,,125.91844940185547,83.06021118164062,223.1305694580078,174.17794799804688,8.830545425415039,26.927146911621094,16.65999984741211,136.0784912109375,55.66666793823242,273.93328857421875,25.8799991607666,38.18684768676758,35.11162567138672
2020-06-01,77.90604400634766,123.552001953125,21.146106719970703,71.52586364746094,163.66000366210938,71.11293029785156,173.82781982421875,,124.5979232788086,84.16130828857422,229.89120483398438,173.77871704101562,8.761643409729004,25.002273559570312,17.100000381469727,135.16233825683594,59.87333297729492,274.90362548828125,26.219999313354492,38.156063079833984,35.73710250854492
2020-06-02,78.2667007446289,123.62049865722656,21.34373664855957,72.99044036865234,162.60000610351562,71.48165893554688,177.48818969726562,,125.4952163696289,84.44298553466797,230.6941375732422,175.75575256347656,8.780547142028809,25.495826721191406,16.84000015258789,134.67086791992188,58.770668029785156,275.2451171875,27.06999969482422,38.1499137878418,36.532474517822266
2020-06-03,78.69755554199219,123.91999816894531,22.33186912536621,74.9098129272461,159.60000610351562,71.33000946044922,183.07875061035156,,125.83383178710938,89.00101470947266,228.15643310546875,176.18350219726562,8.725081443786621,25.495826721191406,16.479999542236328,132.88011169433594,58.86399841308594,274.3825378417969,27.1200008392334,38.00525665283203,38.022796630859375
