tournament_year,group_name,team,team_order,team_fifaCode,team_flagCode,team_flagUrl
1998,Group B,Chile,2,CHI,cl,https://flagcdn.com/w80/cl.png
1998,Group B,Austria,3,AUT,at,https://flagcdn.com/w80/at.png
1998,Group B,Cameroon,4,CMR,cm,https://flagcdn.com/w80/cm.png
1998,Group C,France,1,FRA,fr,https://flagcdn.com/w80/fr.png
1998,Group C,Denmark,2,DEN,dk,https://flagcdn.com/w80/dk.png
1998,Group C,South Africa,3,RSA,za,https://flagcdn.com/w80/za.png
1998,Group C,Saudi Arabia,4,KSA,sa,https://flagcdn.com/w80/sa.png
1998,Group D,Nigeria,1,NGA,ng,https://flagcdn.com/w80/ng.png
1998,Group D,Paraguay,2,PAR,py,https://flagcdn.com/w80/py.png
1998,Group D,Spain,3,ESP,es,https://flagcdn.com/w80/es.png
1998,Group D,Bulgaria,4,BUL,bg,https://flagcdn.com/w80/bg.png
1998,Group E,Netherlands,1,NED,nl,https://flagcdn.com/w80/nl.png
1998,Group E,Mexico,2,MEX,mx,https://flagcdn.com/w80/mx.png
1998,Group E,Belgium,3,BEL,be,https://flagcdn.com/w80/be.png
1998,Group E,South Korea,4,KOR,kr,https://flagcdn.com/w80/kr.png
1998,Group F,Germany,1,GER,de,https://flagcdn.com/w80/de.png
1998,Group F,Yugoslavia,2,YUG,rs,https://flagcdn.com/w80/rs.png
1998,Group F,Iran,3,IRN,ir,https://flagcdn.com/w80/ir.png
1998,Group F,USA,4,USA,us,https://flagcdn.com/w80/us.png
1998,Group G,Romania,1,ROU,ro,https://flagcdn.com/w80/ro.png
1998,Group G,England,2,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1998,Group G,Colombia,3,COL,co,https://flagcdn.com/w80/co.png
1998,Group G,Tunisia,4,TUN,tn,https://flagcdn.com/w80/tn.png
1998,Group H,Argentina,1,ARG,ar,https://flagcdn.com/w80/ar.png
1998,Group H,Croatia,2,CRO,hr,https://flagcdn.com/w80/hr.png
1998,Group H,Jamaica,3,JAM,jm,https://flagcdn.com/w80/jm.png
1998,Group H,Japan,4,JPN,jp,https://flagcdn.com/w80/jp.png
2002,Group A,Denmark,1,DEN,dk,https://flagcdn.com/w80/dk.png
2002,Group A,Senegal,2,SEN,sn,https://flagcdn.com/w80/sn.png
2002,Group A,Uruguay,3,URU,uy,https://flagcdn.com/w80/uy.png
2002,Group A,France,4,FRA,fr,https://flagcdn.com/w80/fr.png
2002,Group B,Spain,1,ESP,es,https://flagcdn.com/w80/es.png
2002,Group B,Paraguay,2,PAR,py,https://flagcdn.com/w80/py.png
2002,Group B,South Africa,3,RSA,za,https://flagcdn.com/w80/za.png
2002,Group B,Slovenia,4,SVN,si,https://flagcdn.com/w80/si.png
2002,Group C,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
2002,Group C,Turkey,2,TUR,tr,https://flagcdn.com/w80/tr.png
2002,Group C,Costa Rica,3,CRC,cr,https://flagcdn.com/w80/cr.png
2002,Group C,China,4,CHN,cn,https://flagcdn.com/w80/cn.png
2002,Group D,South Korea,1,KOR,kr,https://flagcdn.com/w80/kr.png
2002,Group D,USA,2,USA,us,https://flagcdn.com/w80/us.png
2002,Group D,Portugal,3,POR,pt,https://flagcdn.com/w80/pt.png
2002,Group D,Poland,4,POL,pl,https://flagcdn.com/w80/pl.png
2002,Group E,Germany,1,GER,de,https://flagcdn.com/w80/de.png
2002,Group E,Ireland,2,IRL,ie,https://flagcdn.com/w80/ie.png
2002,Group E,Cameroon,3,CMR,cm,https://flagcdn.com/w80/cm.png
2002,Group E,Saudi Arabia,4,KSA,sa,https://flagcdn.com/w80/sa.png
2002,Group F,Sweden,1,SWE,se,https://flagcdn.com/w80/se.png
2002,Group F,England,2,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
2002,Group F,Argentina,3,ARG,ar,https://flagcdn.com/w80/ar.png
2002,Group F,Nigeria,4,NGA,ng,https://flagcdn.com/w80/ng.png
2002,Group G,Mexico,1,MEX,mx,https://flagcdn.com/w80/mx.png
