tournament_year,stage,match_date,match_time,utc_offset,home_team,away_team,home_goals,away_goals,result_extra,venue,city,status,home_fifaCode,home_flagCode,home_flagUrl,away_fifaCode,away_flagCode,away_flagUrl
1938,Quarter-finals,1938-06-12,,,France,Italy,1,3,(1-1),Stade Olympique de Colombes,Paris,played,FRA,fr,https://flagcdn.com/w80/fr.png,ITA,it,https://flagcdn.com/w80/it.png
1938,"Quarter-finals, Replays",1938-06-14,,,Brazil,Czechoslovakia,2,1,(0-1),Parc Lescure,Bordeaux,played,BRA,br,https://flagcdn.com/w80/br.png,TCH,cz,https://flagcdn.com/w80/cz.png
1938,Semi-finals,1938-06-16,,,Hungary,Sweden,5,1,(3-1),Parc des Princes,Paris,played,HUN,hu,https://flagcdn.com/w80/hu.png,SWE,se,https://flagcdn.com/w80/se.png
1938,Semi-finals,1938-06-16,,,Italy,Brazil,2,1,(0-0),Stade Vélodrome,Marseille,played,ITA,it,https://flagcdn.com/w80/it.png,BRA,br,https://flagcdn.com/w80/br.png
1938,Match for third place,1938-06-19,,,Sweden,Brazil,2,4,(2-1),Parc Lescure,Bordeaux,played,SWE,se,https://flagcdn.com/w80/se.png,BRA,br,https://flagcdn.com/w80/br.png
1938,Final,1938-06-19,,,Hungary,Italy,2,4,(1-3),Stade Olympique de Colombes,Paris,played,HUN,hu,https://flagcdn.com/w80/hu.png,ITA,it,https://flagcdn.com/w80/it.png
1950,Group 1,1950-06-24,,,Brazil,Mexico,4,0,(1-0),Estádio do Maracanã,Rio de Janeiro,played,BRA,br,https://flagcdn.com/w80/br.png,MEX,mx,https://flagcdn.com/w80/mx.png
1950,Group 1,1950-06-25,,,Yugoslavia,Switzerland,3,0,(0-0),Estádio Independência,Belo Horizonte,played,YUG,rs,https://flagcdn.com/w80/rs.png,SUI,ch,https://flagcdn.com/w80/ch.png
1950,Group 1,1950-06-28,,,Brazil,Switzerland,2,2,(2-1),Estádio do Pacaembu,São Paulo,played,BRA,br,https://flagcdn.com/w80/br.png,SUI,ch,https://flagcdn.com/w80/ch.png
1950,Group 1,1950-06-28,,,Yugoslavia,Mexico,4,1,(2-0),Estádio dos Eucaliptos,Porto Alegre,played,YUG,rs,https://flagcdn.com/w80/rs.png,MEX,mx,https://flagcdn.com/w80/mx.png
1950,Group 1,1950-07-01,,,Brazil,Yugoslavia,2,0,(1-0),Estádio do Maracanã,Rio de Janeiro,played,BRA,br,https://flagcdn.com/w80/br.png,YUG,rs,https://flagcdn.com/w80/rs.png
1950,Group 1,1950-07-02,,,Switzerland,Mexico,2,1,(2-0),Estádio dos Eucaliptos,Porto Alegre,played,SUI,ch,https://flagcdn.com/w80/ch.png,MEX,mx,https://flagcdn.com/w80/mx.png
1950,Group 2,1950-06-25,,,England,Chile,2,0,,Estádio do Maracanã,Rio de Janeiro,played,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png,CHI,cl,https://flagcdn.com/w80/cl.png
1950,Group 2,1950-06-25,,,Spain,United States,3,1,,Estádio Durival de Britto,Curitiba,played,ESP,es,https://flagcdn.com/w80/es.png,USA,us,https://flagcdn.com/w80/us.png
1950,Group 2,1950-06-29,,,Spain,Chile,2,0,,Estádio do Maracanã,Rio de Janeiro,played,ESP,es,https://flagcdn.com/w80/es.png,CHI,cl,https://flagcdn.com/w80/cl.png
1950,Group 2,1950-06-29,,,United States,England,1,0,,Estádio Independência,Belo Horizonte,played,USA,us,https://flagcdn.com/w80/us.png,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1950,Group 2,1950-07-02,,,Spain,England,1,0,,Estádio do Maracanã,Rio de Janeiro,played,ESP,es,https://flagcdn.com/w80/es.png,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1950,Group 2,1950-07-02,,,Chile,United States,5,2,,Estádio Ilha do Retiro,Recife,played,CHI,cl,https://flagcdn.com/w80/cl.png,USA,us,https://flagcdn.com/w80/us.png
1950,Group 3,1950-06-25,,,Sweden,Italy,3,2,,Estádio do Pacaembu,São Paulo,played,SWE,se,https://flagcdn.com/w80/se.png,ITA,it,https://flagcdn.com/w80/it.png
1950,Group 3,1950-06-29,,,Sweden,Paraguay,2,2,,Estádio Durival Britto,Curitiba,played,SWE,se,https://flagcdn.com/w80/se.png,PAR,py,https://flagcdn.com/w80/py.png
1950,Group 3,1950-07-02,,,Italy,Paraguay,2,0,,Estádio do Pacaembu,São Paulo,played,ITA,it,https://flagcdn.com/w80/it.png,PAR,py,https://flagcdn.com/w80/py.png
1950,Group 4,1950-07-02,,,Uruguay,Bolivia,8,0,,Estádio Independência,Belo Horizonte,played,URU,uy,https://flagcdn.com/w80/uy.png,BOL,bo,https://flagcdn.com/w80/bo.png
1950,Final Round,1950-07-09,,,Uruguay,Spain,2,2,,Estádio do Pacaembu,São Paulo,played,URU,uy,https://flagcdn.com/w80/uy.png,ESP,es,https://flagcdn.com/w80/es.png
1950,Final Round,1950-07-09,,,Brazil,Sweden,7,1,,Estádio do Maracanã,Rio de Janeiro,played,BRA,br,https://flagcdn.com/w80/br.png,SWE,se,https://flagcdn.com/w80/se.png
1950,Final Round,1950-07-13,,,Brazil,Spain,6,1,,Estádio do Maracanã,Rio de Janeiro,played,BRA,br,https://flagcdn.com/w80/br.png,ESP,es,https://flagcdn.com/w80/es.png
1950,Final Round,1950-07-13,,,Uruguay,Sweden,3,2,,Estádio do Pacaembu,São Paulo,played,URU,uy,https://flagcdn.com/w80/uy.png,SWE,se,https://flagcdn.com/w80/se.png
1950,Final Round,1950-07-16,,,Sweden,Spain,3,1,,Estádio do Pacaembu,São Paulo,played,SWE,se,https://flagcdn.com/w80/se.png,ESP,es,https://flagcdn.com/w80/es.png
1950,Final Round,1950-07-16,,,Uruguay,Brazil,2,1,,Estádio do Maracanã,Rio de Janeiro,played,URU,uy,https://flagcdn.com/w80/uy.png,BRA,br,https://flagcdn.com/w80/br.png
1954,Group 1,1954-06-16,,,Brazil,Mexico,5,0,,Charmilles Stadium,Geneva,played,BRA,br,https://flagcdn.com/w80/br.png,MEX,mx,https://flagcdn.com/w80/mx.png
1954,Group 1,1954-06-16,,,Yugoslavia,France,1,0,,Stade Olympique de la Pontaise,Lausanne,played,YUG,rs,https://flagcdn.com/w80/rs.png,FRA,fr,https://flagcdn.com/w80/fr.png
1954,Group 1,1954-06-19,,,Brazil,Yugoslavia,1,1,a.e.t. (1-1),Stade Olympique de la Pontaise,Lausanne,played,BRA,br,https://flagcdn.com/w80/br.png,YUG,rs,https://flagcdn.com/w80/rs.png
1954,Group 1,1954-06-19,,,France,Mexico,3,2,,Charmilles Stadium,Geneva,played,FRA,fr,https://flagcdn.com/w80/fr.png,MEX,mx,https://flagcdn.com/w80/mx.png
1954,Group 2,1954-06-17,,,West Germany,Turkey,4,1,,Wankdorf Stadium,Bern,played,FRG,de,https://flagcdn.com/w80/de.png,TUR,tr,https://flagcdn.com/w80/tr.png
1954,Group 2,1954-06-17,,,Hungary,South Korea,9,0,,Hardturm Stadium,Zürich,played,HUN,hu,https://flagcdn.com/w80/hu.png,KOR,kr,https://flagcdn.com/w80/kr.png
1954,Group 2,1954-06-20,,,Hungary,West Germany,8,3,,St. Jakob Stadium,Basel,played,HUN,hu,https://flagcdn.com/w80/hu.png,FRG,de,https://flagcdn.com/w80/de.png
1954,Group 2,1954-06-20,,,Turkey,South Korea,7,0,,Charmilles Stadium,Geneva,played,TUR,tr,https://flagcdn.com/w80/tr.png,KOR,kr,https://flagcdn.com/w80/kr.png
1954,Group 2 Play-off,1954-06-23,,,West Germany,Turkey,7,2,,Hardturm Stadium,Zürich,played,FRG,de,https://flagcdn.com/w80/de.png,TUR,tr,https://flagcdn.com/w80/tr.png
1954,Group 3,1954-06-16,,,Uruguay,Czechoslovakia,2,0,,Wankdorf Stadium,Bern,played,URU,uy,https://flagcdn.com/w80/uy.png,TCH,cz,https://flagcdn.com/w80/cz.png
1954,Group 3,1954-06-16,,,Austria,Scotland,1,0,,Hardturm Stadium,Zürich,played,AUT,at,https://flagcdn.com/w80/at.png,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1954,Group 3,1954-06-19,,,Austria,Czechoslovakia,5,0,,Hardturm Stadium,Zürich,played,AUT,at,https://flagcdn.com/w80/at.png,TCH,cz,https://flagcdn.com/w80/cz.png
1954,Group 3,1954-06-19,,,Uruguay,Scotland,7,0,,St. Jakob Stadium,Basel,played,URU,uy,https://flagcdn.com/w80/uy.png,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1954,Group 4,1954-06-17,,,England,Belgium,4,4,a.e.t. (3-3),St. Jakob Stadium,Basel,played,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png,BEL,be,https://flagcdn.com/w80/be.png
1954,Group 4,1954-06-17,,,Switzerland,Italy,2,1,,Stade Olympique de la Pontaise,Lausanne,played,SUI,ch,https://flagcdn.com/w80/ch.png,ITA,it,https://flagcdn.com/w80/it.png
1954,Group 4,1954-06-20,,,England,Switzerland,2,0,,Wankdorf Stadium,Bern,played,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png,SUI,ch,https://flagcdn.com/w80/ch.png
1954,Group 4,1954-06-20,,,Italy,Belgium,4,1,,Cornaredo Stadium,Lugano,played,ITA,it,https://flagcdn.com/w80/it.png,BEL,be,https://flagcdn.com/w80/be.png
1954,Group 4 Play-off,1954-06-23,,,Switzerland,Italy,4,1,,St. Jakob Stadium,Basel,played,SUI,ch,https://flagcdn.com/w80/ch.png,ITA,it,https://flagcdn.com/w80/it.png
1954,Quarter-finals,1954-06-26,,,Austria,Switzerland,7,5,,Stade Olympique de la Pontaise,Lausanne,played,AUT,at,https://flagcdn.com/w80/at.png,SUI,ch,https://flagcdn.com/w80/ch.png
1954,Quarter-finals,1954-06-26,,,Uruguay,England,4,2,,St. Jakob Stadium,Basel,played,URU,uy,https://flagcdn.com/w80/uy.png,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1954,Quarter-finals,1954-06-27,,,Yugoslavia,West Germany,0,2,,Charmilles Stadium,Geneva,played,YUG,rs,https://flagcdn.com/w80/rs.png,FRG,de,https://flagcdn.com/w80/de.png
1954,Quarter-finals,1954-06-27,,,Brazil,Hungary,2,4,,Wankdorf Stadium,Bern,played,BRA,br,https://flagcdn.com/w80/br.png,HUN,hu,https://flagcdn.com/w80/hu.png
1954,Semi-finals,1954-06-30,,,West Germany,Austria,6,1,,St. Jakob Stadium,Basel,played,FRG,de,https://flagcdn.com/w80/de.png,AUT,at,https://flagcdn.com/w80/at.png
1954,Semi-finals,1954-06-30,,,Hungary,Uruguay,4,2,a.e.t. (2-2),Stade Olympique de la Pontaise,Lausanne,played,HUN,hu,https://flagcdn.com/w80/hu.png,URU,uy,https://flagcdn.com/w80/uy.png
1954,Third-place match,1954-07-03,,,Uruguay,Austria,1,3,,Hardturm Stadium,Zürich,played,URU,uy,https://flagcdn.com/w80/uy.png,AUT,at,https://flagcdn.com/w80/at.png
1954,Final,1954-07-04,,,Hungary,West Germany,2,3,,Wankdorf Stadium,Bern,played,HUN,hu,https://flagcdn.com/w80/hu.png,FRG,de,https://flagcdn.com/w80/de.png
1958,Group 1,1958-06-08,,,West Germany,Argentina,3,1,,Malmö Stadion,Malmö,played,FRG,de,https://flagcdn.com/w80/de.png,ARG,ar,https://flagcdn.com/w80/ar.png
1958,Group 1,1958-06-08,,,Northern Ireland,Czechoslovakia,1,0,,Örjans Vall,Halmstad,played,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png,TCH,cz,https://flagcdn.com/w80/cz.png
1958,Group 1,1958-06-11,,,Argentina,Northern Ireland,3,1,,Örjans Vall,Halmstad,played,ARG,ar,https://flagcdn.com/w80/ar.png,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png
1958,Group 1,1958-06-11,,,West Germany,Czechoslovakia,2,2,,Olympiastadion,Helsingborg,played,FRG,de,https://flagcdn.com/w80/de.png,TCH,cz,https://flagcdn.com/w80/cz.png
1958,Group 1,1958-06-15,,,West Germany,Northern Ireland,2,2,,Malmö Stadion,Malmö,played,FRG,de,https://flagcdn.com/w80/de.png,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png
1958,Group 1,1958-06-15,,,Czechoslovakia,Argentina,6,1,,Olympiastadion,Helsingborg,played,TCH,cz,https://flagcdn.com/w80/cz.png,ARG,ar,https://flagcdn.com/w80/ar.png
1958,Group 1 Play-off,1958-06-17,,,Northern Ireland,Czechoslovakia,2,1,a.e.t. (1-1),Malmö Stadion,Malmö,played,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png,TCH,cz,https://flagcdn.com/w80/cz.png
1958,Group 2,1958-06-08,,,France,Paraguay,7,3,,Idrottsparken,Norrköping,played,FRA,fr,https://flagcdn.com/w80/fr.png,PAR,py,https://flagcdn.com/w80/py.png
1958,Group 2,1958-06-08,,,Yugoslavia,Scotland,1,1,,Arosvallen,Västerås,played,YUG,rs,https://flagcdn.com/w80/rs.png,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1958,Group 2,1958-06-11,,,Yugoslavia,France,3,2,,Arosvallen,Västerås,played,YUG,rs,https://flagcdn.com/w80/rs.png,FRA,fr,https://flagcdn.com/w80/fr.png
1958,Group 2,1958-06-11,,,Paraguay,Scotland,3,2,,Idrottsparken,Norrköping,played,PAR,py,https://flagcdn.com/w80/py.png,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1958,Group 2,1958-06-15,,,France,Scotland,2,1,,Eyravallen,Örebro,played,FRA,fr,https://flagcdn.com/w80/fr.png,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1958,Group 2,1958-06-15,,,Paraguay,Yugoslavia,3,3,,Tunavallen,Eskilstuna,played,PAR,py,https://flagcdn.com/w80/py.png,YUG,rs,https://flagcdn.com/w80/rs.png
1958,Group 3,1958-06-08,,,Sweden,Mexico,3,0,,Råsunda Stadium,Solna,played,SWE,se,https://flagcdn.com/w80/se.png,MEX,mx,https://flagcdn.com/w80/mx.png
1958,Group 3,1958-06-08,,,Hungary,Wales,1,1,,Jernvallen,Sandviken,played,HUN,hu,https://flagcdn.com/w80/hu.png,WAL,gb-wls,https://flagcdn.com/w80/gb-wls.png
1958,Group 3,1958-06-11,,,Mexico,Wales,1,1,,Råsunda Stadium,Solna,played,MEX,mx,https://flagcdn.com/w80/mx.png,WAL,gb-wls,https://flagcdn.com/w80/gb-wls.png
1958,Group 3,1958-06-12,,,Sweden,Hungary,2,1,,Råsunda Stadium,Solna,played,SWE,se,https://flagcdn.com/w80/se.png,HUN,hu,https://flagcdn.com/w80/hu.png
1958,Group 3,1958-06-15,,,Sweden,Wales,0,0,,Råsunda Stadium,Solna,played,SWE,se,https://flagcdn.com/w80/se.png,WAL,gb-wls,https://flagcdn.com/w80/gb-wls.png
1958,Group 3,1958-06-15,,,Hungary,Mexico,4,0,,Jernvallen,Sandviken,played,HUN,hu,https://flagcdn.com/w80/hu.png,MEX,mx,https://flagcdn.com/w80/mx.png
1958,Group 3 Play-off,1958-06-17,,,Wales,Hungary,2,1,,Råsunda Stadium,Solna,played,WAL,gb-wls,https://flagcdn.com/w80/gb-wls.png,HUN,hu,https://flagcdn.com/w80/hu.png
1958,Group 4,1958-06-08,,,Brazil,Austria,3,0,,Rimnersvallen,Uddevalla,played,BRA,br,https://flagcdn.com/w80/br.png,AUT,at,https://flagcdn.com/w80/at.png
1958,Group 4,1958-06-08,,,Soviet Union,England,2,2,,Ullevi,Gothenburg,played,URS,ru,https://flagcdn.com/w80/ru.png,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1958,Group 4,1958-06-11,,,Brazil,England,0,0,,Ullevi,Gothenburg,played,BRA,br,https://flagcdn.com/w80/br.png,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1958,Group 4,1958-06-11,,,Soviet Union,Austria,2,0,,Ryavallen,Borås,played,URS,ru,https://flagcdn.com/w80/ru.png,AUT,at,https://flagcdn.com/w80/at.png
1958,Group 4,1958-06-15,,,England,Austria,2,2,,Ryavallen,Borås,played,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png,AUT,at,https://flagcdn.com/w80/at.png
1958,Group 4,1958-06-15,,,Brazil,Soviet Union,2,0,,Ullevi,Gothenburg,played,BRA,br,https://flagcdn.com/w80/br.png,URS,ru,https://flagcdn.com/w80/ru.png
1958,Group 4 Play-off,1958-06-17,,,Soviet Union,England,1,0,,Ullevi,Gothenburg,played,URS,ru,https://flagcdn.com/w80/ru.png,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1958,Quarter-finals,1958-06-19,,,France,Northern Ireland,4,0,,Idrottsparken,Norrköping,played,FRA,fr,https://flagcdn.com/w80/fr.png,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png
1958,Quarter-finals,1958-06-19,,,Sweden,Soviet Union,2,0,,Råsunda Stadium,Solna,played,SWE,se,https://flagcdn.com/w80/se.png,URS,ru,https://flagcdn.com/w80/ru.png
1958,Quarter-finals,1958-06-19,,,Brazil,Wales,1,0,,Ullevi,Gothenburg,played,BRA,br,https://flagcdn.com/w80/br.png,WAL,gb-wls,https://flagcdn.com/w80/gb-wls.png
1958,Quarter-finals,1958-06-19,,,West Germany,Yugoslavia,1,0,,Malmö Stadion,Malmö,played,FRG,de,https://flagcdn.com/w80/de.png,YUG,rs,https://flagcdn.com/w80/rs.png
1958,Semi-finals,1958-06-24,,,France,Brazil,2,5,,Råsunda Stadium,Solna,played,FRA,fr,https://flagcdn.com/w80/fr.png,BRA,br,https://flagcdn.com/w80/br.png
