"P1","P2","P3","P4","P5","P6","P7","T1","T2","T3"
0.0979,0.1214,0.4614,0.0929,0.1,0.0833,0.15,8055323,773386,104294396
0.3249,0.249,0.7367,0.2449,0.4082,0.2325,0.2625,203446,57677,51164
0.0979,0.1196,0.4613,0.0857,0.1,0.0833,0.1667,41281488,1487279,91389007
0.1157,0.1328,0.4556,0,0.1143,0.0667,0.1667,1124879,55108,716372
0.0979,0.1227,0.4613,0.0857,0.1,0.0833,0.1667,2978576,9670745,105234630
0.0979,0.1257,0.4613,0.0857,0.1,0.0833,0.1667,9047012,9707159,11353378
0.1157,0.1324,0.4555,0,0.1143,0.0833,0.1667,18625257,1932115,18600422
0.1157,0.1377,0.4555,0,0.1143,0.0833,0.1667,1172445,4115989,1559832
0.0979,0.1211,0.4614,0.0929,0.1,0.0833,0.1667,91796853,222075,2038812
0.3535,0.2496,0.72,0.2551,0.4388,0.235,0.265,23387796,4676482,25011333
0.3078,0.2512,0.702,0.2449,0.3673,0.235,0.265,60969,52343,49824
0.2906,0.2501,0.7255,0.2041,0.3673,0.235,0.2625,57081,51741,49177
0.0979,0.1208,0.4614,0.0929,0.1,0.08,0.1667,54197469,4750632,98581558
0.3208,0.2492,0.703,0.2245,0.3878,0.235,0.2625,82002,58045,5122991
0.1157,0.1395,0.4555,0,0.1143,0.0833,0.1667,397669,48403,630484
0.0979,0.121,0.4613,0.0857,0.1,0.0833,0.1667,894267,804225,106772301
0.0979,0.1211,0.4614,0.0929,0.1,0.0833,0.1667,67302892,20889174,78123149
0.0979,0.1287,0.4614,0.0929,0.1,0.0833,0.1667,65135188,14388610,86894254
0.1157,0.1376,0.4555,0,0.1143,0.1,0.1667,844946,14451,205757
0.0939,0.5067,0.3595,0.0878,0.098,0.4898,0.5102,46259,12551208,2235978
0.0979,0.1252,0.4615,0.0929,0.1,0.0817,0.1667,8105345,944786,82150999
0.0979,0.1244,0.4613,0.0857,0.1,0.0833,0.1667,2647923,24189,83671213
0.3249,0.2479,0.7163,0.2551,0.3878,0.235,0.26,67350,54062,49111
0.0936,0.5074,0.3614,0.0878,0.098,0.4898,0.5102,55725,10406846,1307327
0.2996,0.2511,0.7506,0.2449,0.3469,0.235,0.2675,63214,55550,48149
0.3502,0.2483,0.7155,0.2143,0.4592,0.23,0.2625,1375776,3178786,22048461
0.1157,0.1361,0.4555,0,0.1143,0.1,0.1667,3813532,15126,8753002
0.3273,0.25,0.6922,0.2449,0.4082,0.2325,0.265,78289,58138,54550
0.0933,0.5082,0.3653,0.0878,0.098,0.4898,0.5102,50570,57848,192173
0.1157,0.1351,0.4555,0,0.1143,0.1,0.1667,17965401,898247,44611544
0.0932,0.5085,0.3663,0.0878,0.098,0.4898,0.5102,43717,15337502,288647
0.289,0.2503,0.7145,0.2041,0.3265,0.235,0.2625,59342,48439,45009
0.0979,0.1232,0.4613,0.0857,0.1,0.0667,0.1667,87983104,18540972,96031187
0.0979,0.1237,0.4614,0.0929,0.1,0.0833,0.1667,26853486,1138830,7957478
0.1157,0.1333,0.4556,0,0.1143,0.1,0.1667,80065,12385,1973248
0.0935,0.5076,0.3626,0.0912,0.098,0.4898,0.5102,103598,13602476,2108135
0.1157,0.1393,0.4555,0,0.1143,0.1,0.1667,24613,16604,10066654
0.1157,0.1379,0.4555,0,0.1143,0.1,0.1667,426720,161062,5003745
0.0931,0.5085,0.367,0.0878,0.098,0.4898,0.5102,41216,27336375,1061005
0.0934,0.508,0.366,0.0878,0.098,0.4898,0.5102,61284,13672112,2298042
0.0979,0.1254,0.4613,0.0857,0.1,0.0833,0.1667,21513161,39397,12002810
0.0937,0.5069,0.3629,0.0878,0.098,0.4898,0.5102,34098,18969519,1804905
0.298,0.2492,0.7188,0.2449,0.3367,0.2325,0.265,62327,50317,48419
0.0979,0.1257,0.4613,0.0857,0.1,0.0833,0.1667,70131705,38267882,109319211
0.3004,0.249,0.7739,0.2245,0.3673,0.235,0.2625,63203,53563,36484309
0.0979,0.1246,0.4613,0.0857,0.1,0.0833,0.1667,81252778,545894,98513122
0.0935,0.5077,0.363,0.0878,0.098,0.4898,0.5102,115073,16373842,453367
0.093,0.5093,0.3658,0.0912,0.0946,0.4898,0.5102,37292,19820157,301635
0.1157,0.1391,0.4555,0,0.1143,0.1,0.1667,7739977,14543,51623660
0.3429,0.2498,0.7465,0.2653,0.4184,0.235,0.2625,207024,87393,94447
0.3829,0.2505,0.7535,0.2755,0.4796,0.235,0.265,20367164,21041311,22289761
0.0979,0.1241,0.4613,0.0857,0.1,0.0833,0.1667,16790318,11012402,84953346
0.3747,0.2502,0.7214,0.2857,0.4694,0.23,0.265,184894,77413,18282420
0.0979,0.1224,0.4613,0.0857,0.1,0.0833,0.1667,19283614,17760852,98137561
0.0979,0.1268,0.4613,0.0857,0.1,0.0833,0.1667,88947885,1567019,77338782
0.3771,0.2502,0.7227,0.2857,0.5,0.235,0.265,22721384,20242654,23711536
0.0979,0.1227,0.4613,0.0857,0.1,0.0833,0.1667,88167287,14875174,99485642
0.0934,0.5076,0.3651,0.0878,0.098,0.4898,0.5102,74091,236727,2544040
0.2947,0.2504,0.7374,0.2245,0.3673,0.2325,0.265,56516,50735,45868
0.0939,0.5067,0.3583,0.0912,0.098,0.4898,0.5102,52808,16108091,3273453
0.3167,0.2495,0.7398,0.2449,0.3878,0.2325,0.2625,60821,53424,51027
