"P1","P2","P3","P4","P5","P6","P7","T1","T2","T3"
0.1157,0.134,0.4555,0,0.1143,0.0667,0.1667,97074,6617,119269
0.0934,0.5079,0.3619,0.0912,0.0946,0.4898,0.5102,94543,19756634,3367991
0.0979,0.1253,0.4614,0.0929,0.1,0.0833,0.1667,33879325,56877,100813943
0.0934,0.508,0.3634,0.0878,0.098,0.4898,0.5102,82039,15153145,2760122
0.3469,0.2502,0.7305,0.2755,0.398,0.2325,0.265,195361,140390,30120754
0.0979,0.1191,0.4614,0.0929,0.1,0.0833,0.1667,643883,597435,101917659
0.0979,0.1249,0.4615,0.0929,0.1,0.0833,0.1667,2341387,2131262,95875212
0.0937,0.5072,0.3606,0.0878,0.098,0.4898,0.5102,45230,18521645,3313153
0.0979,0.1231,0.4614,0.0929,0.1,0.0833,0.1633,1585586,168873,112765218
0.3837,0.2513,0.7386,0.2653,0.5,0.2375,0.2638,28643937,28480105,30719338
0.0934,0.5079,0.3636,0.0912,0.098,0.4898,0.5102,37580,19598535,291925
0.1159,0.1501,0.4562,0,0.1143,0.1111,0.1667,9571873,324598,133851
0.3363,0.2508,0.7038,0.2449,0.4286,0.235,0.265,226091,62209,34823870
0.1157,0.1325,0.4556,0,0.1143,0.1,0.1667,21911873,142532,12699759
0.1157,0.1317,0.4555,0,0.1143,0.1,0.1667,1558399,19193,29169
0.3053,0.2512,0.7237,0.2245,0.3776,0.2375,0.265,67079,52216,49401
0.0933,0.5079,0.3639,0.0878,0.098,0.4898,0.5102,58703,19405909,1611045
0.3355,0.25,0.7531,0.2347,0.4184,0.2325,0.265,223479,54310,72543
0.1157,0.1382,0.4555,0,0.1143,0.0833,0.1667,2989068,97933,556314
0.0979,0.1248,0.4614,0.0929,0.1,0.0833,0.1667,92478739,1929918,105760074
0.3437,0.2521,0.7429,0.2449,0.449,0.2375,0.265,2234753,63180,4100762
0.0935,0.5077,0.3614,0.0878,0.098,0.4898,0.5102,34178,9899114,1630567
0.0979,0.1225,0.4613,0.0857,0.1,0.0833,0.1667,28496302,3163224,92166680
0.3869,0.2497,0.7361,0.2857,0.4796,0.2325,0.2625,28414711,28839050,28776777
0.0936,0.5072,0.3615,0.0912,0.098,0.4898,0.5102,41300,13349176,2396518
0.0979,0.125,0.4613,0.0857,0.1,0.0833,0.1667,82941893,1852265,101176962
0.0935,0.5074,0.3626,0.0878,0.098,0.4898,0.5102,35580,17368033,820878
0.0937,0.5071,0.3632,0.0878,0.098,0.4898,0.5102,60519,18654256,1287452
0.1157,0.1292,0.4556,0,0.1143,0.0625,0.1667,582621,513137,1428282
0.1157,0.133,0.4555,0,0.1143,0.1,0.1667,3640075,464063,14755
0.1157,0.133,0.4556,0,0.1143,0,0.1667,1119991,261854,5551036
0.1157,0.1304,0.4556,0,0.1143,0.0833,0.1667,3704166,245963,5520596
0.3371,0.2487,0.7117,0.2755,0.398,0.235,0.2625,76765,59135,56628
0.3429,0.2496,0.723,0.2449,0.4286,0.235,0.2625,26640813,156313,6193428
0.0979,0.1209,0.4613,0.0857,0.1,0.0833,0.1667,28557412,18249318,7760147
0.1157,0.139,0.4555,0,0.1143,0.1,0.1667,543327,64917,411938
0.0936,0.5073,0.3645,0.0878,0.098,0.4898,0.5102,33015,172572,291731
0.3216,0.2502,0.7213,0.2245,0.3673,0.2375,0.2638,68779,57237,54580
0.3812,0.25,0.7405,0.2449,0.5,0.2375,0.2625,27382454,23022863,28325301
0.0979,0.1269,0.4612,0.0857,0.1,0.0833,0.1667,26170752,11095767,101213678
0.0979,0.122,0.4615,0.0929,0.1,0.0833,0.1667,38494751,8214808,73504616
0.0934,0.5077,0.3637,0.0878,0.098,0.4898,0.5102,34567,229904,1839289
0.0979,0.1184,0.4613,0.0857,0.1,0.0833,0.1667,41580306,253746,118619661
0.0933,0.508,0.365,0.0878,0.098,0.4898,0.5102,66880,273035,2058269
0.3167,0.2489,0.7139,0.2041,0.3878,0.2325,0.2625,84345,55600,53049
0.0932,0.5087,0.3684,0.0878,0.0946,0.4898,0.5102,81635,10779732,2913637
0.1157,0.1311,0.4555,0,0.1143,0.0667,0.1667,747895,379599,94743401
0.0979,0.1219,0.4614,0.0929,0.1,0.0833,0.1667,47935911,2133416,98904162
0.1157,0.1383,0.4555,0,0.1143,0.0833,0.1667,2247282,573886,520744
0.0979,0.1229,0.4614,0.0929,0.1,0.0833,0.1667,84641989,29563511,90455557
0.3567,0.2523,0.7154,0.2245,0.4694,0.2375,0.2675,6035280,11945170,32719949
0.3127,0.2499,0.7248,0.2143,0.3878,0.235,0.2625,55902,53635,49746
0.0938,0.507,0.3591,0.0878,0.098,0.4898,0.5102,85729,18095427,1609429
0.0979,0.1245,0.4613,0.0857,0.1,0.0667,0.1667,15103457,900507,108097745
0.3078,0.2491,0.7265,0.2449,0.3571,0.235,0.265,62748,56604,52440
0.0979,0.122,0.4614,0.0929,0.1,0.0833,0.1667,2536070,1900294,67497015
0.0938,0.5069,0.3638,0.0878,0.098,0.4898,0.5102,55937,16930305,2857151
0.3151,0.2507,0.7266,0.2041,0.3776,0.2325,0.265,73256,52185,54481
0.1157,0.1374,0.4555,0,0.1143,0.0833,0.1667,1153835,262827,7328048
0.3078,0.2484,0.7106,0.2245,0.3878,0.2325,0.265,59301,54106,51711
0.0979,0.1243,0.4614,0.0929,0.1,0.0833,0.1667,26534518,3910157,3342543
0.1157,0.1416,0.4555,0,0.1143,0.1,0.1667,1859389,182367,286430
0.1157,0.1457,0.4556,0,0.1143,0.1111,0.1667,26784,157717,1139384
0.3853,0.2492,0.7348,0.2653,0.4694,0.2325,0.265,16402300,21172639,22196167
0.1157,0.1348,0.4556,0,0.1143,0.0833,0.1667,183440,20506,8243308
0.0979,0.1222,0.4612,0.0857,0.1,0.0833,0.1667,92690913,1361829,108195038
